client,desc,combined,market
Cyxtera,Power Distribution System Addition Cx at Cyxtera Data Center in Sterling VA,Cyxtera Power Distribution System Addition Cx at Cyxtera Data Center in Sterling VA,Datacom / Mission Critical / Tech
Cyxtera,Columbus Data Center – PLC Modifications - Cx Services,Cyxtera Columbus Data Center – PLC Modifications - Cx Services,Datacom / Mission Critical / Tech
Databank,5G Facilities,Databank 5G Facilities,Datacom / Mission Critical / Tech
Databank,Kansas City,Databank Kansas City,Datacom / Mission Critical / Tech
DC Blox,Multiple locations,DC Blox Multiple locations,Datacom / Mission Critical / Tech
"DCO Energy, LLC",DCO Audit - DRJTBC ECM Design,"DCO Energy, LLC DCO Audit - DRJTBC ECM Design",Institutional / Gov Facilities
Delta,Design and Cx Support,Delta Design and Cx Support,Datacom / Mission Critical / Tech
Delta,Outage remediation,Delta Outage remediation,Datacom / Mission Critical / Tech
Department of Public Works and Parks,"University City Analysis of Energy Efficiency Upgrades – University City, MO","Department of Public Works and Parks University City Analysis of Energy Efficiency Upgrades – University City, MO",Commercial / Misc Facilities
Department of the Treasury,3rd Party Measurement & Verification Services - NJ State Prison ,Department of the Treasury 3rd Party Measurement & Verification Services - NJ State Prison ,Institutional / Gov Facilities
Digital Realty Trust," Trumbull, CT - DC Energy Audit","Digital Realty Trust  Trumbull, CT - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,"111 8th Ave, NYC - DC Energy Audit","Digital Realty Trust 111 8th Ave, NYC - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,2020 I-UP Budgeting Planning,Digital Realty Trust 2020 I-UP Budgeting Planning,Datacom / Mission Critical / Tech
Digital Realty Trust,"60 Hudson, NYC - DC Energy Audit","Digital Realty Trust 60 Hudson, NYC - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,ASHRAE 90.1 - 90.4 Risk Assessment,Digital Realty Trust ASHRAE 90.1 - 90.4 Risk Assessment,Datacom / Mission Critical / Tech
Digital Realty Trust,ATL13 - 56 Marietta - Implementation / RCx,Digital Realty Trust ATL13 - 56 Marietta - Implementation / RCx,Datacom / Mission Critical / Tech
