client,desc,combined,market
Verizon Wireless,Birmingham BDFB DC Design,Verizon Wireless Birmingham BDFB DC Design,Datacom / Mission Critical / Tech
Verizon Wireless,Birmingham DC Plant & Facility Upgrade Cx,Verizon Wireless Birmingham DC Plant & Facility Upgrade Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Birmingham MSC SDN,Verizon Wireless Birmingham MSC SDN,Datacom / Mission Critical / Tech
Verizon Wireless,"Bloomington, MN - 7400 amp hardening design","Verizon Wireless Bloomington, MN - 7400 amp hardening design",Datacom / Mission Critical / Tech
Verizon Wireless,Boardman Transport Hub CRAN,Verizon Wireless Boardman Transport Hub CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Boise Covered Shelter Expansion,Verizon Wireless Boise Covered Shelter Expansion,Datacom / Mission Critical / Tech
Verizon Wireless,Boise MSC Kitchen Redesign,Verizon Wireless Boise MSC Kitchen Redesign,Datacom / Mission Critical / Tech
Verizon Wireless,Boise MSC NSTD397 Compliance Audit,Verizon Wireless Boise MSC NSTD397 Compliance Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Boise NSTD386 Generator Compliance,Verizon Wireless Boise NSTD386 Generator Compliance,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg 131-141 SDN Deployment,Verizon Wireless Branchburg 131-141 SDN Deployment,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg BAS Audit,Verizon Wireless Branchburg BAS Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg Master Plan,Verizon Wireless Branchburg Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg MSI,Verizon Wireless Branchburg MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg MSI,Verizon Wireless Branchburg MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg NEC1A UPS Replacement Cx,Verizon Wireless Branchburg NEC1A UPS Replacement Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg NOC Alarming,Verizon Wireless Branchburg NOC Alarming,Datacom / Mission Critical / Tech
Verizon Wireless,Bridgeville 1 & 2 Power Operational Plan,Verizon Wireless Bridgeville 1 & 2 Power Operational Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Bridgeville HVAC Replacement,Verizon Wireless Bridgeville HVAC Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,Bridgeville Renovations Design,Verizon Wireless Bridgeville Renovations Design,Datacom / Mission Critical / Tech
Verizon Wireless,Buffalo MSC FM-200 Upgrade - BAS System,Verizon Wireless Buffalo MSC FM-200 Upgrade - BAS System,Datacom / Mission Critical / Tech
Verizon Wireless,Cell Site Monitoring - EOS Project,Verizon Wireless Cell Site Monitoring - EOS Project,Datacom / Mission Critical / Tech
Verizon Wireless,CH A&E Services CRAN Medium,Verizon Wireless CH A&E Services CRAN Medium,Datacom / Mission Critical / Tech
Verizon Wireless,Chandler - RTU-1 MSI Services,Verizon Wireless Chandler - RTU-1 MSI Services,Datacom / Mission Critical / Tech
Verizon Wireless,"Chandler, IN Audit","Verizon Wireless Chandler, IN Audit",Datacom / Mission Critical / Tech
Verizon Wireless,Chantilly Master Plan,Verizon Wireless Chantilly Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Chantilly MSI,Verizon Wireless Chantilly MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Chantilly VA - DC PP Design,Verizon Wireless Chantilly VA - DC PP Design,Datacom / Mission Critical / Tech
Verizon Wireless,Charleston - MEP FP Demo / Drawings (JMN),Verizon Wireless Charleston - MEP FP Demo / Drawings (JMN),Datacom / Mission Critical / Tech
Verizon Wireless,Charleston (2 sites) CRAN A/E Services -REBID,Verizon Wireless Charleston (2 sites) CRAN A/E Services -REBID,Datacom / Mission Critical / Tech
Verizon Wireless,"Charleston, SC MTSO CRAN Survey","Verizon Wireless Charleston, SC MTSO CRAN Survey",Datacom / Mission Critical / Tech
Verizon Wireless,Charlotte Elec Service / UPS Upgrade CxA,Verizon Wireless Charlotte Elec Service / UPS Upgrade CxA,Datacom / Mission Critical / Tech
Verizon Wireless,Charlotte MSI,Verizon Wireless Charlotte MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Charlotte RNC Network Area Expansion,Verizon Wireless Charlotte RNC Network Area Expansion,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago (Hickory Hills) Medium HUB A&E Services CRAN,Verizon Wireless Chicago (Hickory Hills) Medium HUB A&E Services CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago CRANs - Medium HUB,Verizon Wireless Chicago CRANs - Medium HUB,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 3 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 3 CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 4 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 4 CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 5 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 5 CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Chicago Medium HUB A&E Services - Batch 6 CRAN,Verizon Wireless Chicago Medium HUB A&E Services - Batch 6 CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Cincinnati,Verizon Wireless Cincinnati,Datacom / Mission Critical / Tech
Verizon Wireless,Cincinnati MTSO CRAN,Verizon Wireless Cincinnati MTSO CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Cleveland South CRAN,Verizon Wireless Cleveland South CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,"Clinton MSC (Englewood, CO) Inverter Replacement A&E","Verizon Wireless Clinton MSC (Englewood, CO) Inverter Replacement A&E",Datacom / Mission Critical / Tech
Verizon Wireless,Clinton Twp CRAN,Verizon Wireless Clinton Twp CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Colfax – CRAN Turnkey Services,Verizon Wireless Colfax – CRAN Turnkey Services,Datacom / Mission Critical / Tech
Verizon Wireless,COLORADO - CRAN Turnkey Services,Verizon Wireless COLORADO - CRAN Turnkey Services,Datacom / Mission Critical / Tech
Verizon Wireless,Columbia MSC ATS Replacement,Verizon Wireless Columbia MSC ATS Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,"Columbia, SC MSTO CRAN Survey","Verizon Wireless Columbia, SC MSTO CRAN Survey",Datacom / Mission Critical / Tech
Verizon Wireless,Columbus OH MSI,Verizon Wireless Columbus OH MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Columbus Power Operational Procedure ,Verizon Wireless Columbus Power Operational Procedure ,Datacom / Mission Critical / Tech
Verizon Wireless,Commerical Real Estate Opportunities,Verizon Wireless Commerical Real Estate Opportunities,Commercial / Misc Facilities
Verizon Wireless,"Copperfield - Telco Room HVAC - BAS (for XEC, Inc)","Verizon Wireless Copperfield - Telco Room HVAC - BAS (for XEC, Inc)",Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield Expansion Design,Verizon Wireless Copperfield Expansion Design,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSC - Network Room HVAC - Design and Cx,Verizon Wireless Copperfield MSC - Network Room HVAC - Design and Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI,Verizon Wireless Copperfield MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI - CHANGE ORDER - C09,Verizon Wireless Copperfield MSI - CHANGE ORDER - C09,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR 01 - 08,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR 01 - 08,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR2,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR2,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI - CHANGE ORDER - COR6,Verizon Wireless Copperfield MSI - CHANGE ORDER - COR6,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield MSI - CHANGE ORDER - gen card replacement and test - CO10,Verizon Wireless Copperfield MSI - CHANGE ORDER - gen card replacement and test - CO10,Datacom / Mission Critical / Tech
Verizon Wireless,Copperfield Telco RM 109 HVAC Modification Design,Verizon Wireless Copperfield Telco RM 109 HVAC Modification Design,Datacom / Mission Critical / Tech
Verizon Wireless,COSP AHU Fan Wall Cx Services,Verizon Wireless COSP AHU Fan Wall Cx Services,Datacom / Mission Critical / Tech
Verizon Wireless,COSP Elevator Modernization Cx Services,Verizon Wireless COSP Elevator Modernization Cx Services,Datacom / Mission Critical / Tech
Verizon Wireless,Covington Generator Replacement,Verizon Wireless Covington Generator Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,Covington Generator Replacement - Self Cx (AWARD in 2019),Verizon Wireless Covington Generator Replacement - Self Cx (AWARD in 2019),Datacom / Mission Critical / Tech
Verizon Wireless,Covington Generator Replacement COR #1,Verizon Wireless Covington Generator Replacement COR #1,Datacom / Mission Critical / Tech
Verizon Wireless,Covington Generator Replacement COR #2,Verizon Wireless Covington Generator Replacement COR #2,Datacom / Mission Critical / Tech
Verizon Wireless,CP&G MTSO - Great Lakes,Verizon Wireless CP&G MTSO - Great Lakes,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E - Charlotte & Raleigh Junction,Verizon Wireless CRAN A&E - Charlotte & Raleigh Junction,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E - Greensboro Market Site,Verizon Wireless CRAN A&E - Greensboro Market Site,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E - Waxhaw NC,Verizon Wireless CRAN A&E - Waxhaw NC,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E (Charlotte & Raleigh Junction),Verizon Wireless CRAN A&E (Charlotte & Raleigh Junction),Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E 2017,Verizon Wireless CRAN A&E 2017,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN A&E Las Vegas - Flamingo and Durango,Verizon Wireless CRAN A&E Las Vegas - Flamingo and Durango,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN MACRO to CRAN Hub A&E Services,Verizon Wireless CRAN MACRO to CRAN Hub A&E Services,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN Medium Hub Shelter Equipment Design,Verizon Wireless CRAN Medium Hub Shelter Equipment Design,Datacom / Mission Critical / Tech
Verizon Wireless,CRAN Template RFP Development,Verizon Wireless CRAN Template RFP Development,Datacom / Mission Critical / Tech
Verizon Wireless,CT New Berlin HVAC Design,Verizon Wireless CT New Berlin HVAC Design,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN - Redesign - Bandera & 410,Verizon Wireless CTX CRAN - Redesign - Bandera & 410,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN - Redesign - KBER,Verizon Wireless CTX CRAN - Redesign - KBER,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN - Redesign - Marie,Verizon Wireless CTX CRAN - Redesign - Marie,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN (Batch 12),Verizon Wireless CTX CRAN (Batch 12),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN Hub - A&E,Verizon Wireless CTX CRAN Hub - A&E,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN Hub - A&E - Batch 14 - Group Two,Verizon Wireless CTX CRAN Hub - A&E - Batch 14 - Group Two,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN Hub - A&E (Batch 10),Verizon Wireless CTX CRAN Hub - A&E (Batch 10),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB - A&E Survey + Plan Cell ,Verizon Wireless CTX CRAN HUB - A&E Survey + Plan Cell ,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN Hub (Batch 11) - A&E,Verizon Wireless CTX CRAN Hub (Batch 11) - A&E,Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN Hub A&E (Batch 12),Verizon Wireless CTX CRAN Hub A&E (Batch 12),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 4),Verizon Wireless CTX CRAN HUB A&E (Batch 4),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 5),Verizon Wireless CTX CRAN HUB A&E (Batch 5),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 6),Verizon Wireless CTX CRAN HUB A&E (Batch 6),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 7),Verizon Wireless CTX CRAN HUB A&E (Batch 7),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 8),Verizon Wireless CTX CRAN HUB A&E (Batch 8),Datacom / Mission Critical / Tech
Verizon Wireless,CTX CRAN HUB A&E (Batch 9),Verizon Wireless CTX CRAN HUB A&E (Batch 9),Datacom / Mission Critical / Tech
Verizon Wireless,CTX Region CRAN Hub A&E Work,Verizon Wireless CTX Region CRAN Hub A&E Work,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - 51 Imclone ADMIN ATS ,Verizon Wireless CxA - 51 Imclone ADMIN ATS ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - Bedminster NNO,Verizon Wireless CxA - Bedminster NNO,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - COSP Cold Aisle Containment,Verizon Wireless CxA - COSP Cold Aisle Containment,Datacom / Mission Critical / Tech
Verizon Wireless,"CxA  Garden City, GA","Verizon Wireless CxA  Garden City, GA",Datacom / Mission Critical / Tech
Verizon Wireless,CxA - HVAC Optimization Golden Valley ,Verizon Wireless CxA - HVAC Optimization Golden Valley ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - HVAC Optimization Owatonna,Verizon Wireless CxA - HVAC Optimization Owatonna,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - HVAC Optimization Sioux Falls,Verizon Wireless CxA - HVAC Optimization Sioux Falls,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - Las Vegas 2nd Power Plant and Network Room,Verizon Wireless CxA - Las Vegas 2nd Power Plant and Network Room,Datacom / Mission Critical / Tech
Verizon Wireless,CxA - RCK Electrical Capacity Expansion ,Verizon Wireless CxA - RCK Electrical Capacity Expansion ,Datacom / Mission Critical / Tech
Verizon Wireless,"CxA - Rocklin, CA - NEC Chiller Plant Optimization ","Verizon Wireless CxA - Rocklin, CA - NEC Chiller Plant Optimization ",Datacom / Mission Critical / Tech
Verizon Wireless,CxA - Wallingford HVAC Optimization,Verizon Wireless CxA - Wallingford HVAC Optimization,Datacom / Mission Critical / Tech
Verizon Wireless,CxA 51 Imclone Kyoto 2,Verizon Wireless CxA 51 Imclone Kyoto 2,Datacom / Mission Critical / Tech
Verizon Wireless,CxA 51 Imclone New Cooling Tech CxA,Verizon Wireless CxA 51 Imclone New Cooling Tech CxA,Datacom / Mission Critical / Tech
Verizon Wireless,CxA 8th Street CRAN - ATL,Verizon Wireless CxA 8th Street CRAN - ATL,Datacom / Mission Critical / Tech
Verizon Wireless,CxA 8th Street CRAN - ATL - Additional Cx,Verizon Wireless CxA 8th Street CRAN - ATL - Additional Cx,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Admin UPS Replacement 145 Chubb,Verizon Wireless CxA Admin UPS Replacement 145 Chubb,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Albuquerque BAS Commissioning,Verizon Wireless CxA Albuquerque BAS Commissioning,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Alpharetta,Verizon Wireless CxA Alpharetta,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Alpharetta - 480V,Verizon Wireless CxA Alpharetta - 480V,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Alpharetta - BAS,Verizon Wireless CxA Alpharetta - BAS,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Alpharetta CRAC 9 Unit Cx,Verizon Wireless CxA Alpharetta CRAC 9 Unit Cx,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Annapolis Junction (A-J),Verizon Wireless CxA Annapolis Junction (A-J),Datacom / Mission Critical / Tech
Verizon Wireless,CxA Aurora,Verizon Wireless CxA Aurora,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Azusa CA 2n Generator NEC CX,Verizon Wireless CxA Azusa CA 2n Generator NEC CX,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Baton Rouge Building Expansion ,Verizon Wireless CxA Baton Rouge Building Expansion ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Billerica Outdoor Generator,Verizon Wireless CxA Billerica Outdoor Generator,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Bloomington 7400 AMP Hardening,Verizon Wireless CxA Bloomington 7400 AMP Hardening,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Branchburg Chiller Separation,Verizon Wireless CxA Branchburg Chiller Separation,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Branchburg CRAC Replacement Ph 2 ,Verizon Wireless CxA Branchburg CRAC Replacement Ph 2 ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Branchburg VOLTE Bunker,Verizon Wireless CxA Branchburg VOLTE Bunker,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Bridgeville 2 Sw Room Expansion ,Verizon Wireless CxA Bridgeville 2 Sw Room Expansion ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Chantilly 4 SAP,Verizon Wireless CxA Chantilly 4 SAP,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Charlotte Gen Addition,Verizon Wireless CxA Charlotte Gen Addition,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Charlotte switch 5 Cx,Verizon Wireless CxA Charlotte switch 5 Cx,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Chubb Way Chiller Optimization ,Verizon Wireless CxA Chubb Way Chiller Optimization ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA CLT Telco CRAC,Verizon Wireless CxA CLT Telco CRAC,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Colorado Springs - Chiller Plant,Verizon Wireless CxA Colorado Springs - Chiller Plant,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Colorado Springs - Transport Room HVAC,Verizon Wireless CxA Colorado Springs - Transport Room HVAC,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Colorado Springs POP Rectifier ,Verizon Wireless CxA Colorado Springs POP Rectifier ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA COSP Sand Filter and Sweeper,Verizon Wireless CxA COSP Sand Filter and Sweeper,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Duluth - CRAC Units,Verizon Wireless CxA Duluth - CRAC Units,Datacom / Mission Critical / Tech
Verizon Wireless,CxA East Syracuse SDN,Verizon Wireless CxA East Syracuse SDN,Datacom / Mission Critical / Tech
Verizon Wireless,"CxA Evansville, IN RTU & VAV ","Verizon Wireless CxA Evansville, IN RTU & VAV ",Datacom / Mission Critical / Tech
Verizon Wireless,"CxA Hilliard, OH NEC","Verizon Wireless CxA Hilliard, OH NEC",Datacom / Mission Critical / Tech
Verizon Wireless,CxA Hooksett BAS,Verizon Wireless CxA Hooksett BAS,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Jacksonville,Verizon Wireless CxA Jacksonville,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Little Rock BAS / Commissioning,Verizon Wireless CxA Little Rock BAS / Commissioning,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Macon - 480V,Verizon Wireless CxA Macon - 480V,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Macon - CRAC Units,Verizon Wireless CxA Macon - CRAC Units,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Miami West Switch B ,Verizon Wireless CxA Miami West Switch B ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Mineola Generator ,Verizon Wireless CxA Mineola Generator ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Nashville Cx,Verizon Wireless CxA Nashville Cx,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Nashville-Expansion 401 commisioning,Verizon Wireless CxA Nashville-Expansion 401 commisioning,Datacom / Mission Critical / Tech
Verizon Wireless,CxA New Berlin Expansion,Verizon Wireless CxA New Berlin Expansion,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Orlando MSC Switch Room Mod,Verizon Wireless CxA Orlando MSC Switch Room Mod,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Pleasanton ,Verizon Wireless CxA Pleasanton ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Plymouth Meeting,Verizon Wireless CxA Plymouth Meeting,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Roanoke,Verizon Wireless CxA Roanoke,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Rochester,Verizon Wireless CxA Rochester,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Rocklin,Verizon Wireless CxA Rocklin,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Rocklin 2 Chiller OPZ Upgrade,Verizon Wireless CxA Rocklin 2 Chiller OPZ Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Rocklin PGB,Verizon Wireless CxA Rocklin PGB,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Rocklin UPS - CxA,Verizon Wireless CxA Rocklin UPS - CxA,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake Chiller,Verizon Wireless CxA Southlake Chiller,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake Cooling Tower Replacement,Verizon Wireless CxA Southlake Cooling Tower Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake CRAC Control Project,Verizon Wireless CxA Southlake CRAC Control Project,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake CRAC Replacement,Verizon Wireless CxA Southlake CRAC Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake NEC 2-D Power Conversion,Verizon Wireless CxA Southlake NEC 2-D Power Conversion,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake New Cooling Technology ,Verizon Wireless CxA Southlake New Cooling Technology ,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Southlake PGB's,Verizon Wireless CxA Southlake PGB's,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Taunton Generator,Verizon Wireless CxA Taunton Generator,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Wall NJ BAS Replacement,Verizon Wireless CxA Wall NJ BAS Replacement,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Wall Township,Verizon Wireless CxA Wall Township,Datacom / Mission Critical / Tech
Verizon Wireless,CxA West Omaha Expansion,Verizon Wireless CxA West Omaha Expansion,Datacom / Mission Critical / Tech
Verizon Wireless,CxA West Roxbury Generator Cx,Verizon Wireless CxA West Roxbury Generator Cx,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Wilmington,Verizon Wireless CxA Wilmington,Datacom / Mission Critical / Tech
Verizon Wireless,CxA Woodlawn MSI,Verizon Wireless CxA Woodlawn MSI,Datacom / Mission Critical / Tech
Verizon Wireless,"DC Audit - Bloomington, Lenexa, St. Louis","Verizon Wireless DC Audit - Bloomington, Lenexa, St. Louis",Datacom / Mission Critical / Tech
Verizon Wireless,DCIM,Verizon Wireless DCIM,Datacom / Mission Critical / Tech
Verizon Wireless,Denver Boulder Square Turnkey CRAN,Verizon Wireless Denver Boulder Square Turnkey CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Des Moines Condenser and Water Retention,Verizon Wireless Des Moines Condenser and Water Retention,Datacom / Mission Critical / Tech
Verizon Wireless,Design - Wallingford CT Fuel Tank Roof,Verizon Wireless Design - Wallingford CT Fuel Tank Roof,Datacom / Mission Critical / Tech
Verizon Wireless,Design - Wallingford MSC Electrical Equipment Relocation,Verizon Wireless Design - Wallingford MSC Electrical Equipment Relocation,Datacom / Mission Critical / Tech
Verizon Wireless,DFW Expansion Design,Verizon Wireless DFW Expansion Design,Datacom / Mission Critical / Tech
Verizon Wireless,Duff CRAN Medium Hub A&E Services,Verizon Wireless Duff CRAN Medium Hub A&E Services,Datacom / Mission Critical / Tech
Verizon Wireless,Duff Dr Aisle Cont. JACE upgrades (COR1),Verizon Wireless Duff Dr Aisle Cont. JACE upgrades (COR1),Datacom / Mission Critical / Tech
Verizon Wireless,Duff Dr Aisle Cont. Refrigerant Monitoring (COR3),Verizon Wireless Duff Dr Aisle Cont. Refrigerant Monitoring (COR3),Datacom / Mission Critical / Tech
Verizon Wireless,Duff Dr Aisle Cont. Sensor Solution (COR2),Verizon Wireless Duff Dr Aisle Cont. Sensor Solution (COR2),Datacom / Mission Critical / Tech
Verizon Wireless,"Duff Drive (Cincinnati, OH) Cold Aisle Containment System ","Verizon Wireless Duff Drive (Cincinnati, OH) Cold Aisle Containment System ",Datacom / Mission Critical / Tech
Verizon Wireless,Duluth 1 Fiber Installation,Verizon Wireless Duluth 1 Fiber Installation,Datacom / Mission Critical / Tech
Verizon Wireless,Duluth MSI,Verizon Wireless Duluth MSI,Datacom / Mission Critical / Tech
Verizon Wireless,ECM Collaboration Portal,Verizon Wireless ECM Collaboration Portal,Datacom / Mission Critical / Tech
Verizon Wireless,"Elgin, IL Audit ","Verizon Wireless Elgin, IL Audit ",Datacom / Mission Critical / Tech
Verizon Wireless,"Elgin, IL BAS","Verizon Wireless Elgin, IL BAS",Datacom / Mission Critical / Tech
Verizon Wireless,"Elgin, IL MSI Support","Verizon Wireless Elgin, IL MSI Support",Datacom / Mission Critical / Tech
Verizon Wireless,ELP BAS Upgrade,Verizon Wireless ELP BAS Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,ELP Remaining CRAN A&E ,Verizon Wireless ELP Remaining CRAN A&E ,Datacom / Mission Critical / Tech
Verizon Wireless,"ELP, LSC CRAN A&E ","Verizon Wireless ELP, LSC CRAN A&E ",Datacom / Mission Critical / Tech
Verizon Wireless,Energy Management Program - Nationwide,Verizon Wireless Energy Management Program - Nationwide,Datacom / Mission Critical / Tech
Verizon Wireless,Eugene Fire Suppression System A&E ,Verizon Wireless Eugene Fire Suppression System A&E ,Datacom / Mission Critical / Tech
Verizon Wireless,Eugene OR NDIR386 Upgrades A&E and Cx,Verizon Wireless Eugene OR NDIR386 Upgrades A&E and Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Eugene Parking Lot and Roof Ladder Design,Verizon Wireless Eugene Parking Lot and Roof Ladder Design,Datacom / Mission Critical / Tech
Verizon Wireless,Euless TX MSI (DFW),Verizon Wireless Euless TX MSI (DFW),Datacom / Mission Critical / Tech
Verizon Wireless,Evansville MSC Inverter Upgrade,Verizon Wireless Evansville MSC Inverter Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,"FAR TOO LATE HUB A&E Design - Fargo, ND CRAN","Verizon Wireless FAR TOO LATE HUB A&E Design - Fargo, ND CRAN",Datacom / Mission Critical / Tech
Verizon Wireless,Farmingdale SAP - 5E Conversion Design,Verizon Wireless Farmingdale SAP - 5E Conversion Design,Datacom / Mission Critical / Tech
Verizon Wireless,Galveston TX CRAN Hub A&E Work,Verizon Wireless Galveston TX CRAN Hub A&E Work,Datacom / Mission Critical / Tech
Verizon Wireless,Garfield Heights MSI - controls trouble-shooting,Verizon Wireless Garfield Heights MSI - controls trouble-shooting,Datacom / Mission Critical / Tech
Verizon Wireless,GN CRAN Medium Hub Design,Verizon Wireless GN CRAN Medium Hub Design,Datacom / Mission Critical / Tech
Verizon Wireless,Goodes Bridge MSC Design Sprill Cont.,Verizon Wireless Goodes Bridge MSC Design Sprill Cont.,Datacom / Mission Critical / Tech
